City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hofn,100,IS,1607548885,88,64.25,-15.21,42.62,13.67
Mossamedes,100,AO,1607548885,75,-15.2,12.15,66.78,8.93
Saskylakh,100,RU,1607548886,87,71.92,114.08,-17.66,13.49
Mabua,72,PH,1607548886,83,9.81,125.44,79.59,8.5
Port Alfred,76,ZA,1607548886,84,-33.59,26.89,67.93,10.4
Kapaa,40,US,1607548886,78,22.08,-159.32,82.99,5.82
Izhma,87,RU,1607548886,97,65.01,53.91,17.78,4.81
Hobart,40,AU,1607548759,57,-42.88,147.33,53.01,11.41
Castro,27,BR,1607548886,69,-24.79,-50.01,73.81,3.62
Yellowknife,75,CA,1607548886,84,62.46,-114.35,3.2,6.93
Rūdbār,0,AF,1607548886,47,30.15,62.6,50.32,5.7
Porto-Novo,20,BJ,1607548886,88,6.5,2.6,82.4,10.29
Saint-Joseph,20,RE,1607548887,83,-21.37,55.62,73.4,20.8
Atuona,1,PF,1607548887,75,-9.8,-139.03,78.66,19.28
Barrow,1,US,1607548857,70,71.29,-156.79,-4.0,17.22
Sitka,40,US,1607548887,86,57.05,-135.33,37.4,6.93
Chapais,90,CA,1607548887,92,49.78,-74.85,19.4,6.93
Narsaq,5,GL,1607548887,30,60.92,-46.05,28.4,12.75
Vaini,75,TO,1607548887,83,-21.2,-175.2,80.6,12.75
Upernavik,100,GL,1607548887,96,72.79,-56.15,24.13,9.06
Simao,73,CN,1607548887,91,22.79,100.97,55.74,1.41
Wilmington,1,US,1607548639,32,34.23,-77.94,55.99,10.29
Aklavik,90,CA,1607548888,84,68.22,-135.01,-2.2,3.36
Xapuri,40,BR,1607548888,88,-10.65,-68.5,80.6,11.41
Lompoc,1,US,1607548888,10,34.64,-120.46,75.2,4.7
Avarua,3,CK,1607548681,78,-21.21,-159.78,78.8,11.41
New Norfolk,0,AU,1607548888,59,-42.78,147.06,53.01,4.0
Zhuhai,20,CN,1607548888,82,22.28,113.57,66.99,9.17
Barkhan,0,PK,1607548888,83,29.9,69.53,48.72,1.16
Butaritari,83,KI,1607548888,76,3.07,172.79,82.02,9.8
Hammond,1,US,1607548889,50,41.58,-87.5,51.8,5.82
Koumac,25,NC,1607548889,69,-20.57,164.28,82.09,2.89
Peniche,99,PT,1607548889,90,39.36,-9.38,57.99,10.0
Nikolskoye,0,RU,1607548889,73,59.7,30.79,21.99,6.71
Dourbali,72,TD,1607548889,17,11.81,15.86,79.45,8.68
Kota Bharu,20,MY,1607548889,100,6.13,102.24,75.2,2.24
Batagay-Alyta,100,RU,1607548889,80,67.8,130.41,-24.54,2.53
Clyde River,90,CA,1607548890,92,70.47,-68.59,10.4,2.24
Kavieng,99,PG,1607548890,72,-2.57,150.8,82.54,3.42
Hithadhoo,100,MV,1607548890,71,-0.6,73.08,81.86,8.43
Khovd,63,MN,1607548890,86,48.01,91.64,3.47,0.92
Lüshunkou,40,CN,1607548890,92,38.8,121.27,28.4,6.71
Tasiilaq,0,GL,1607548890,47,65.61,-37.64,15.8,4.7
Mataura,99,NZ,1607548890,56,-46.19,168.86,59.45,1.97
Nome,40,US,1607548890,84,64.5,-165.41,3.2,10.29
Qaanaaq,100,GL,1607548890,87,77.48,-69.36,1.9,3.15
Phon,50,TH,1607548891,99,15.82,102.6,64.0,6.29
Berlin,90,DE,1607548320,88,52.52,13.41,36.0,9.17
Maniitsoq,48,GL,1607548891,79,65.42,-52.9,22.96,3.44
Faanui,100,PF,1607548891,75,-16.48,-151.75,79.2,16.26
Alihe,100,CN,1607548891,89,50.57,123.72,3.38,2.28
Chicama,26,PE,1607548891,77,-7.84,-79.15,68.0,14.99
Palmer,75,US,1607548891,64,42.16,-72.33,35.01,5.32
Cabo San Lucas,90,MX,1607548725,47,22.89,-109.91,82.0,3.36
Lorengau,99,PG,1607548891,67,-2.02,147.27,83.57,2.95
Alta Floresta,100,BR,1607548891,89,-9.88,-56.09,74.21,2.62
Bluff,100,NZ,1607548892,74,-46.6,168.33,56.03,6.51
Southbridge,100,US,1607548767,62,42.08,-72.03,34.0,5.3
Lebu,0,CL,1607548892,66,-37.62,-73.65,58.69,16.17
Dunedin,2,NZ,1607548892,62,-45.87,170.5,62.01,14.0
Salinópolis,100,BR,1607548892,76,-0.61,-47.36,81.9,13.09
Changping,0,CN,1607548892,78,40.22,116.22,27.0,8.95
San Cristobal,40,VE,1607548892,62,7.77,-72.22,87.8,10.29
Kiryat Gat,0,IL,1607548892,89,31.61,34.76,61.0,4.47
Ixtapa,75,MX,1607548893,74,20.7,-105.2,80.6,9.17
Tautira,40,PF,1607548893,66,-17.73,-149.15,86.0,6.93
Macao,20,MO,1607548893,82,22.2,113.55,66.2,9.17
George Town,20,MY,1607548893,83,5.41,100.34,78.8,3.36
Hay River,56,CA,1607548893,84,60.82,-115.8,5.0,1.12
Mar del Plata,0,AR,1607548891,31,-38.0,-57.56,77.0,13.87
Antofagasta,40,CL,1607548893,68,-23.65,-70.4,66.2,16.11
Bathsheba,20,BB,1607548893,62,13.22,-59.52,84.2,10.29
Olafsvik,100,IS,1607548893,86,64.89,-23.71,34.79,32.01
New Bern,1,US,1607548893,37,35.11,-77.04,53.6,12.75
Shelburne,97,CA,1607548894,100,44.08,-80.2,37.99,13.35
Tuktoyaktuk,20,CA,1607548894,75,69.45,-133.04,-14.8,5.82
Mananara,50,MG,1607548894,87,-16.17,49.77,74.68,3.74
Port Elizabeth,87,ZA,1607548894,93,-33.92,25.57,66.2,9.17
Nichinan,0,JP,1607548894,74,31.6,131.37,52.45,4.65
Laguna,1,US,1607548857,36,38.42,-121.42,64.99,12.75
Basavana Bāgevādi,0,IN,1607548894,63,16.58,75.97,68.63,8.9
Pandan,100,PH,1607548894,83,14.05,124.17,79.36,4.59
Santa Cruz de la Sierra,90,BO,1607548894,88,-17.8,-63.17,73.4,6.93
Villa Carlos Paz,7,AR,1607548894,37,-31.42,-64.5,93.99,15.01
Nyimba,100,ZM,1607548895,88,-14.56,30.81,70.95,5.77
Aller,100,ES,1607548895,93,43.12,-5.58,52.0,8.05
Cape Town,20,ZA,1607548872,82,-33.93,18.42,64.4,12.75
Ilulissat,82,GL,1607548895,41,69.22,-51.1,21.2,11.41
Rawson,0,AR,1607548817,47,-43.3,-65.1,64.11,16.04
San Fernando,75,PH,1607548895,78,15.03,120.69,78.8,6.93
Kahului,20,US,1607548878,58,20.89,-156.47,82.4,9.17
Meulaboh,100,ID,1607548895,87,4.14,96.13,76.62,4.92
Buala,21,SB,1607548895,73,-8.14,159.59,82.87,3.02
Hamilton,1,US,1607548896,43,39.18,-84.53,55.4,12.75
Airai,100,TL,1607548896,96,-8.93,125.41,62.62,2.04
Kentau,96,KZ,1607548896,70,43.52,68.51,23.59,2.75
Carnarvon,90,AU,1607548896,88,-24.87,113.63,71.6,14.99
Mahébourg,75,MU,1607548896,83,-20.41,57.7,75.2,14.99
Mil'kovo,99,RU,1607548896,87,54.72,158.62,5.79,1.72
Half Moon Bay,40,US,1607548896,48,37.46,-122.43,64.99,5.59
Bengkulu,99,ID,1607548897,92,-3.8,102.27,74.59,6.78
Severo-Yeniseyskiy,76,RU,1607548897,86,60.37,93.04,-26.25,3.78
Asău,100,RO,1607548897,13,46.43,26.4,30.0,2.51
Broken Hill,28,AU,1607548897,44,-31.95,141.43,60.8,9.17
Shache,0,CN,1607548897,94,38.42,77.24,18.23,1.12
Eidsvoll,90,NO,1607548897,93,60.33,11.26,35.6,6.93
Praia da Vitória,20,PT,1607548897,88,38.73,-27.07,63.0,8.14
Sanchursk,0,RU,1607548897,90,56.94,47.25,15.66,4.12
Kaitangata,30,NZ,1607548897,71,-46.28,169.85,62.01,7.0
Constitución,0,CL,1607548857,49,-35.33,-72.42,64.36,20.27
Ejea de los Caballeros,50,ES,1607548897,80,42.13,-1.14,41.0,4.7
Laas,75,IT,1607548898,79,46.62,10.7,34.0,6.93
Ponta do Sol,40,PT,1607548898,87,32.67,-17.1,60.8,5.82
Harper,100,LR,1607548898,86,4.38,-7.72,78.51,6.76
Salta,40,AR,1607548718,42,-24.79,-65.41,80.6,11.41
Cherskiy,50,RU,1607548898,87,68.75,161.3,-10.14,4.16
Alofi,75,NU,1607548828,78,-19.06,-169.92,80.6,18.34
Río Gallegos,75,AR,1607548705,36,-51.62,-69.22,62.6,17.22
Iqaluit,75,CA,1607548898,73,63.75,-68.51,23.0,10.29
Vilhena,40,BR,1607548898,88,-12.74,-60.15,73.4,9.17
Severo-Kuril'sk,71,RU,1607548899,87,50.68,156.12,26.22,24.27
Vila do Maio,75,CV,1607548899,69,15.13,-23.22,73.4,17.22
Basco,3,PH,1607548899,87,20.45,121.97,77.14,15.95
Dongsheng,0,CN,1607548899,94,39.82,109.98,14.9,13.58
Mabaruma,65,GY,1607548899,95,8.2,-59.78,76.5,4.54
Preobrazheniye,66,RU,1607548899,82,42.9,133.91,28.51,3.83
Norman Wells,75,CA,1607548899,84,65.28,-126.83,5.0,12.75
Champerico,20,GT,1607548899,59,14.3,-91.92,89.6,9.17
Binga,96,ZW,1607548900,79,-17.62,27.34,75.67,1.97
Riohacha,78,CO,1607548731,81,11.54,-72.91,82.78,8.23
Hambantota,9,LK,1607548900,86,6.12,81.12,77.02,11.21
Dikson,0,RU,1607548900,87,73.51,80.55,-11.36,4.79
Codrington,46,AU,1607548900,72,-38.27,141.97,54.14,17.27
Englehart,90,CA,1607548900,86,47.82,-79.87,33.8,12.75
Seoul,90,KR,1607548673,60,37.57,126.98,39.2,2.46
Inverell,100,AU,1607548900,75,-29.78,151.12,70.0,1.99
Santa Isabel,40,BR,1607548900,73,-23.32,-46.22,75.2,9.17
Klaksvík,100,FO,1607548900,87,62.23,-6.59,44.6,18.34
Quatre Cocos,75,MU,1607548901,83,-20.21,57.76,75.2,14.99
Vostok,0,RU,1607548901,92,46.49,135.88,2.23,5.03
Flinders,97,AU,1607548901,72,-34.58,150.86,68.0,1.01
Galveston,1,US,1607548798,60,29.37,-94.97,70.0,10.29
Formiga,96,BR,1607548901,89,-20.46,-45.43,71.33,4.54
Tadine,30,NC,1607548901,79,-21.55,167.88,80.26,13.8
Balkhash,39,KZ,1607548901,88,46.84,74.98,10.13,4.65
Byron Bay,40,AU,1607548902,94,-28.65,153.62,72.0,3.71
Semīrom,0,IR,1607548902,87,31.42,51.57,26.31,0.65
East London,93,ZA,1607548902,78,-33.02,27.91,71.15,7.87
Santa Maria,20,BR,1607548862,42,-29.68,-53.81,84.2,10.29
Raudeberg,0,NO,1607548902,56,61.99,5.14,44.6,14.99
Lüderitz,20,NA,1607548902,84,-26.65,15.16,61.79,14.16
Pangnirtung,75,CA,1607548902,73,66.15,-65.71,19.4,2.66
Khatanga,60,RU,1607548902,85,71.97,102.5,-31.11,2.28
Torbay,75,CA,1607548902,93,47.67,-52.73,37.99,20.8
Wabag,100,PG,1607548902,89,-5.48,143.7,55.74,1.28
Kruisfontein,100,ZA,1607548902,95,-34.0,24.73,64.99,1.01
Port Augusta,100,AU,1607548903,72,-32.5,137.77,64.4,11.41
Stephenville,1,US,1607548903,11,32.22,-98.2,78.8,6.93
Portland,90,US,1607548718,76,45.52,-122.68,53.01,3.36
Tabou,100,CI,1607548903,86,4.42,-7.35,78.75,6.4
Roald,0,NO,1607548903,65,62.58,6.13,41.0,13.87
Katsuura,75,JP,1607548903,66,35.13,140.3,48.2,14.99
Lovozero,0,RU,1607548903,94,68.0,35.01,14.81,6.64
Chumikan,47,RU,1607548904,88,54.72,135.31,2.75,13.85
Leningradskiy,67,RU,1607548904,86,69.38,178.42,-1.28,4.12
Puerto Escondido,0,MX,1607548904,64,15.85,-97.07,82.47,6.31
Port Hueneme,1,US,1607548904,37,34.15,-119.2,75.0,4.7
Takoradze,90,GH,1607548904,85,4.88,-1.76,79.45,7.43
Bāndarban,22,BD,1607548904,91,22.2,92.23,59.14,2.35
Talnakh,0,RU,1607548904,76,69.49,88.4,-7.6,4.99
Sørland,75,NO,1607548904,86,67.67,12.69,37.4,11.41
Esmeraldas,75,BR,1607548895,61,-19.76,-44.31,78.8,4.7
Aljezur,57,PT,1607548905,94,37.32,-8.8,57.0,8.99
Marabu,40,MY,1607548878,100,4.41,114.01,75.2,3.36
Sokolo,0,ML,1607548905,21,14.73,-6.12,77.77,10.94
Smolenka,16,RU,1607548905,55,52.14,113.5,10.4,15.66
Chokurdakh,86,RU,1607548905,83,70.63,147.92,-28.03,2.91
Hasaki,75,JP,1607548905,75,35.73,140.83,46.4,10.29
Geraldton,75,AU,1607548905,82,-28.77,114.6,68.0,0.94
Mozarlândia,100,BR,1607548905,67,-14.74,-50.57,80.96,6.31
Vestmannaeyjar,100,IS,1607548906,89,63.44,-20.27,37.67,19.1
Neuquén,0,AR,1607548890,21,-38.95,-68.06,84.2,4.9
Esim,90,GH,1607548906,85,4.87,-2.24,78.94,6.53
Aswān,0,EG,1607548906,46,24.09,32.91,68.67,10.09
Steinbach am Taunus,90,DE,1607548906,82,50.17,8.57,37.4,4.7
Quelimane,0,MZ,1607548906,78,-17.88,36.89,78.01,3.36
Naryan-Mar,100,RU,1607548906,98,67.67,53.09,26.96,14.5
La Ronge,0,CA,1607548906,97,55.1,-105.28,32.0,4.7
Saint Paul Harbor,20,US,1607548906,74,57.79,-152.41,28.4,3.36
Pevek,16,RU,1607548906,90,69.7,170.31,-7.78,2.71
Goranboy,90,AZ,1607548906,86,40.61,46.79,37.4,4.7
Berzence,90,HU,1607548907,93,46.21,17.15,39.2,6.93
Ode,100,NG,1607548907,78,7.79,5.71,75.94,5.57
Black Diamond,97,US,1607548718,99,47.31,-122.0,51.01,4.32
Sioux Lookout,20,CA,1607548907,69,50.1,-91.92,35.6,5.82
Mayo,1,US,1607548907,52,38.89,-76.51,46.0,5.82
Ustyuzhna,0,RU,1607548907,90,58.84,36.43,20.32,7.16
Te Anau,99,NZ,1607548907,82,-45.42,167.72,56.34,3.44
Souillac,75,MU,1607548907,83,-20.52,57.52,75.2,14.99
Kosjerić,100,RS,1607548907,100,44.0,19.91,35.6,5.82
Quryq,0,KZ,1607548907,92,43.2,51.65,26.73,8.75
Oranjemund,6,NA,1607548908,87,-28.55,16.43,62.38,9.93
Price,1,US,1607548908,22,39.6,-110.81,42.8,4.7
Dingle,89,PH,1607548908,91,11.0,122.67,74.53,2.62
Shirokiy,30,RU,1607548908,93,49.76,129.52,2.41,3.71
Dengzhou,71,CN,1607548908,73,37.81,120.75,41.31,10.2
Fortuna,100,US,1607548908,93,40.6,-124.16,53.01,3.0
Lac du Bonnet,87,CA,1607548908,80,50.25,-96.06,37.0,6.93
Vardø,75,NO,1607548908,86,70.37,31.11,33.8,40.26
General Roca,0,AR,1607548908,21,-39.03,-67.58,84.2,3.65
Sing Buri,40,TH,1607548909,70,14.85,100.23,70.0,5.26
Abu Dhabi,20,AE,1607548827,53,24.47,54.37,71.6,6.93
Chui,0,UY,1607548909,69,-33.7,-53.46,72.25,9.8
Litovko,100,RU,1607548909,94,49.24,135.17,10.18,4.76
Felipe Carrillo Puerto,58,MX,1607548909,58,19.58,-88.05,76.1,3.58
Lata,100,PT,1607548909,92,40.16,-8.33,50.0,1.99
Altay,100,CN,1607548909,90,47.87,88.12,9.41,2.06
Ati,91,TD,1607548909,16,13.22,18.34,80.6,7.31
Gewanē,27,ET,1607548909,39,10.17,40.65,76.86,8.88
São Filipe,87,CV,1607548910,72,14.9,-24.5,75.25,12.75
Verkhoyansk,37,RU,1607548910,76,67.54,133.38,-40.68,1.7
Porto Santo,20,PT,1607548910,72,33.07,-16.34,62.6,9.17
Yaan,70,NG,1607548910,43,7.38,8.57,84.43,5.66
Anadyr,20,RU,1607548910,85,64.75,177.48,23.0,20.13
Goderich,100,CA,1607548910,86,43.75,-81.72,39.2,11.41
Fergus Falls,1,US,1607548718,52,46.28,-96.08,46.4,8.05
Al Bardīyah,0,LY,1607548910,37,31.76,25.09,61.3,10.0
Porbandar,97,IN,1607548910,56,21.64,69.61,73.54,7.25
Labuan,20,MY,1607548910,94,5.28,115.24,77.0,6.87
Santa Isabel Rio Negro,61,BR,1607548911,60,-0.41,-65.02,89.37,0.58
Big Rapids,90,US,1607548911,75,43.7,-85.48,42.01,6.93
Luganville,40,VU,1607548911,94,-15.53,167.17,78.8,2.24
Waipawa,95,NZ,1607548911,100,-41.41,175.52,62.6,4.7
Ampanihy,98,MG,1607548911,61,-24.7,44.75,74.46,8.05
Tura,0,IN,1607548911,80,25.52,90.22,59.56,3.13
Los Llanos de Aridane,75,ES,1607548911,82,28.66,-17.92,64.4,12.75
Yelizovo,0,RU,1607548911,71,53.19,158.38,3.2,8.95
Thompson,90,CA,1607548656,92,55.74,-97.86,28.4,4.7
Saint-Augustin,100,CA,1607548912,86,51.23,-58.65,35.44,8.79
Adrar,12,MR,1607548912,26,20.5,-10.07,62.24,10.51
Kumul,0,CN,1607548788,87,42.8,93.45,17.26,2.93
Majene,99,ID,1607548912,72,-3.54,118.97,79.59,3.83
Vidim,100,RU,1607548912,87,56.41,103.11,-10.77,7.67
Egvekinot,95,RU,1607548912,94,66.32,-179.17,2.61,0.36
Guerrero Negro,64,MX,1607548912,48,27.98,-114.06,71.76,9.4
Kathmandu,75,NP,1607548799,93,27.72,85.32,53.6,2.24
Kochi,40,IN,1607548912,94,9.94,76.26,78.8,4.94
Miles City,1,US,1607548913,21,46.41,-105.84,59.0,9.17
Sayán,82,PE,1607548913,55,-11.14,-77.19,74.84,5.99
San Francisco del Mar Viejo,0,MX,1607548913,54,16.23,-94.65,80.6,27.6
Derzhavīnsk,91,KZ,1607548913,95,51.1,66.32,7.83,5.84
Nyurba,100,RU,1607548913,83,63.28,118.33,-34.71,3.38
Moa,100,CU,1607548913,69,20.66,-74.94,72.46,7.52
Burnie,0,AU,1607548913,61,-41.07,145.92,52.0,8.01
Ahrensburg,90,DE,1607548913,100,53.68,10.25,39.0,5.82
Kyren,10,RU,1607548913,76,51.68,102.14,-2.43,1.32
Muisne,40,EC,1607548914,79,0.6,-80.03,84.2,8.05
Nanortalik,0,GL,1607548914,81,60.14,-45.24,27.99,5.91
Najrān,0,SA,1607548914,54,17.49,44.13,57.2,1.36
Bend,1,US,1607548914,42,44.06,-121.32,48.2,4.7
Tongren,99,CN,1607548914,80,27.72,109.19,48.06,3.13
Künzelsau,100,DE,1607548914,93,49.28,9.69,33.01,3.36
Gigmoto,100,PH,1607548914,80,13.78,124.39,79.88,4.74
Paamiut,0,GL,1607548914,75,61.99,-49.67,27.7,6.06
Saldanha,98,ZA,1607548817,82,-33.01,17.94,64.4,8.05
Roblin,100,CA,1607548915,99,51.23,-101.36,31.89,6.24
Rundu,61,NA,1607548915,74,-17.93,19.77,72.73,4.18
Zhigansk,11,RU,1607548915,81,66.77,123.37,-37.37,3.6
Nālūt,0,LY,1607548915,45,30.33,10.85,52.23,10.45
Ozernovskiy,100,RU,1607548915,90,51.5,156.52,26.74,27.25
North Battleford,1,CA,1607548915,74,52.78,-108.28,33.8,6.93
Areia Branca,72,BR,1607548915,73,-4.96,-37.14,80.71,16.58
Ust'-Tarka,99,RU,1607548916,96,55.57,75.7,12.18,9.51
Nioro,72,GM,1607548916,24,13.35,-15.75,79.72,5.28
Tānsen,25,NP,1607548916,100,27.87,83.55,48.65,3.09
Orange Walk District,20,BZ,1607548916,57,17.83,-88.83,78.01,8.05
Haines Junction,100,CA,1607548916,92,60.75,-137.51,5.0,1.12
Saint George,1,US,1607548824,17,37.1,-113.58,51.8,3.11
Nishihara,75,JP,1607548916,94,26.18,127.76,68.0,3.36
Yerbogachën,100,RU,1607548792,88,61.28,108.01,-15.54,3.94
Umluj,0,SA,1607548917,58,25.02,37.27,75.18,10.54
San Patricio,20,US,1607548917,19,28.02,-97.52,78.8,9.17
Grand-Bourg,40,GP,1607548917,65,15.88,-61.31,82.4,8.05
Sechura,9,PE,1607548917,55,-5.56,-80.82,79.7,16.93
Ulaangom,100,MN,1607548917,84,49.98,92.07,0.68,3.44
Jaunjelgava,16,LV,1607548917,81,56.62,25.08,25.0,7.0
Rome,1,US,1607548679,44,34.26,-85.16,60.8,5.82
Karlskoga,75,SE,1607548918,93,59.33,14.52,39.2,8.05
Gwanda,79,ZW,1607548918,83,-20.93,29.0,69.35,6.53
Viedma,0,AR,1607548918,22,-40.81,-63.0,82.0,8.34
Beloha,56,MG,1607548918,75,-25.17,45.05,70.18,13.24
Carleton Place,100,CA,1607548918,95,45.13,-76.15,37.99,5.86
Salalah,0,OM,1607548918,23,17.02,54.09,75.2,10.29
Mount Gambier,90,AU,1607548888,93,-37.83,140.77,53.6,10.29
Namatanai,100,PG,1607548918,75,-3.67,152.43,81.21,2.51
Humaitá,81,BR,1607548918,77,-7.51,-63.02,82.26,4.63
Sistranda,75,NO,1607548918,60,63.73,8.83,41.0,18.34
Cockburn Town,75,TC,1607548919,61,21.46,-71.14,77.0,9.17
Wexford,75,IE,1607548919,100,52.33,-6.46,48.99,3.36
Bousso,98,TD,1607548919,18,10.48,16.71,79.07,3.98
Korla,36,CN,1607548789,91,41.76,86.15,21.51,1.07
Chik,75,RU,1607548919,83,54.99,82.43,-4.0,4.47
Ribeira Grande,75,PT,1607548919,88,38.52,-28.7,64.4,9.17
Mobaye,85,CF,1607548919,47,4.32,21.18,76.23,2.73
Ransang,9,PH,1607548919,81,8.96,117.58,79.27,3.53
Marsh Harbour,3,BS,1607548919,56,26.54,-77.06,67.73,12.33
Victor Harbor,100,AU,1607548920,72,-35.57,138.62,61.0,1.01
Holme,100,DK,1607548920,93,56.11,10.17,41.0,6.93
Alice Springs,100,AU,1607548920,49,-23.7,133.88,75.99,5.82
Atambua,100,ID,1607548920,83,-9.11,124.89,76.26,1.86
Kapit,99,MY,1607548920,94,2.02,112.93,75.11,1.36
Kargasok,100,RU,1607548920,95,59.06,80.86,9.36,8.03
Karratha,7,AU,1607548681,69,-20.74,116.85,81.9,3.8
Port Keats,81,AU,1607548920,86,-14.25,129.55,80.76,6.13
Bambous Virieux,75,MU,1607548921,83,-20.34,57.76,75.2,14.99
Paracatu,76,BR,1607548921,81,-17.22,-46.87,74.77,4.07
Kiama,92,AU,1607548921,72,-34.68,150.87,69.01,1.01
Avera,1,US,1607548921,41,33.19,-82.53,60.8,9.17
Bushehr,0,IR,1607548921,63,28.97,50.84,60.8,6.93
Henties Bay,2,NA,1607548921,90,-22.12,14.28,63.0,3.56
Yakeshi,92,CN,1607548921,91,49.28,120.73,-5.17,3.87
Inta,99,RU,1607548922,98,66.03,60.17,22.23,7.7
Miracatu,0,BR,1607548922,72,-24.28,-47.46,78.71,4.74
Nantucket,90,US,1607548893,70,41.28,-70.1,42.8,14.99
Arrondissement de Pontivy,100,FR,1607548922,93,48.0,-3.0,48.99,14.99
Isangel,31,VU,1607548922,79,-19.55,169.27,80.91,14.5
Yanam,0,IN,1607548922,78,16.73,82.22,67.3,2.86
Atlantic City,90,US,1607548908,60,39.36,-74.42,39.99,3.36
Khilok,72,RU,1607548922,86,51.37,110.47,0.3,13.2
Denpasar,90,ID,1607548884,74,-8.65,115.22,84.2,14.99
Putina,24,PE,1607548923,58,-15.47,-69.43,56.39,16.04
Kharan,3,PK,1607548923,39,28.58,65.42,55.76,6.98
Vágur,100,FO,1607548923,77,61.47,-6.81,47.28,23.87
Fethiye,75,TR,1607548636,77,36.62,29.12,60.8,10.29
Krasnosel'kup,100,RU,1607548923,92,65.7,82.47,-1.82,13.96
Yangjiang,57,CN,1607548923,71,21.85,111.97,62.13,5.44
Gigante,88,CO,1607548923,63,2.39,-75.55,78.53,1.54
Sorong,27,ID,1607548923,84,-0.88,131.25,80.38,9.01
Valdivia,0,CL,1607548703,49,-39.81,-73.25,71.6,8.05
São João da Barra,90,BR,1607548924,94,-21.64,-41.05,77.0,9.17
Hokitika,33,NZ,1607548924,76,-42.72,170.97,58.19,5.5
Dhārchula,97,IN,1607548924,41,29.85,80.53,50.79,5.44
Fonte Boa,100,BR,1607548924,94,-2.5,-66.27,79.07,3.62
Ridgecrest,75,US,1607548924,9,35.62,-117.67,63.0,1.77
Bo Rai,28,TH,1607548924,70,12.57,102.54,69.1,5.19
Emba,17,KZ,1607548924,94,48.83,58.14,11.35,2.75
Verkhnetulomskiy,75,RU,1607548924,85,68.61,31.8,23.0,6.71
Lanzhou,97,CN,1607548925,54,36.06,103.79,28.0,1.14
Eqbālīyeh,0,IR,1607548925,74,35.3,51.54,37.4,6.93
Caravelas,7,BR,1607548925,75,-17.71,-39.25,78.6,13.0
Kailua,40,US,1607548903,65,21.4,-157.74,78.8,4.65
Ketchikan,75,US,1607548925,100,55.34,-131.65,39.2,5.82
Tessalit,0,ML,1607548925,22,20.2,1.01,65.91,9.84
George Town,20,MY,1607548925,83,5.41,100.34,78.8,3.36
Bethel,100,US,1607548875,88,41.37,-73.41,33.01,3.0
Erzin,20,TR,1607548627,100,36.96,36.2,44.6,4.7
Gweta,34,BW,1607548926,52,-20.18,25.23,80.29,4.56
Shetpe,0,KZ,1607548926,93,44.17,52.12,21.69,3.51
Guararapes,79,BR,1607548926,56,-21.26,-50.64,82.94,8.03
Khasan,60,RU,1607548926,88,42.43,130.64,29.95,1.88
Meridian,40,US,1607548701,74,43.61,-116.39,37.4,6.93
